idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22821.33789062,0.00000000,0.00000000,0.00000000,-65.33789062,0.00000000,0.10565218,0.16870642,5.59925175
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,54.89319992,3.86904883,-1.43774116,7.28229216,-54.40801061,1314.03145363,199.99996948,0.10565218,0.16870642,5.59925175
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,54.89319992,1.60262668,1.70385158,-7.28229692,54.40800997,130.77461358,200.00006104,0.10565218,0.16870642,5.59925175
 666,  -11,        e+, 1, 498, 498,  -1,  -1,-556,   0,15.42953110,4.84363031,-2.60216832,-13.23860728,-7.92525754,979.16908452,0.00051100,0.10565218,0.16870642,5.59925175
 667,   23,        Z0,22, 498, 498, 670, 671,-556,   4,53.79206467,2.53381014,-1.16487598,21.24057578,-49.42088791,336.79405035,91.18759918,0.10565218,0.16870642,5.59925175
 668,   11,        e-, 1, 499, 499,  -1,  -1, 556,   0,36.45482635,1.91266811,-0.76532924,26.28955501,-25.25497301,120.72826894,0.00051100,0.10565218,0.16870642,5.59925175
 669,   23,        Z0,22, 499, 499, 687, 688, 556,  12,61.23404694,-0.00032945,1.90392029,-20.02334025,57.86773150,-0.02017340,91.18759918,0.10565218,0.16870642,5.59925175
 670,    4,         c,23, 667, 667, 672, 673,  23,   4,26.26342773,1.26693153,1.04305792,13.22575618,22.69024041,42.91770133,1.50000000,0.10565218,0.16870642,5.59925175
 671,   -4,      cbar,23, 667, 667, 674, 674,  23,  -4,72.55516815,2.10686064,-1.46010530,8.01481571,-72.11113059,293.87631017,1.50000000,0.10565218,0.16870642,5.59925175
 687,   12,      nu_e, 1, 669, 669,  -1,  -1,  23,   0,24.00795937,-0.46387383,-1.81485677,-5.80139653,-23.29647851,-11.54037922,-0.00000038,0.10565218,0.16870642,5.59925175
 688,  -12,   nu_ebar, 1, 669, 669,  -1,  -1,  23,   0,82.40080261,0.13935548,1.74425960,-14.22193957,81.16420828,11.52020612,-0.00000045,0.10565218,0.16870642,5.59925175
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,23356.46289062,0.00000000,0.00000000,0.00000000,600.46289062,0.00000000,0.10539644,0.16849089,-11.52213001
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22909.94140625,0.00000000,0.00000000,0.00000000,-153.94140625,0.00000000,0.10539644,0.16849089,-11.52213001
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,51.00819016,-0.91817498,0.11043396,50.69746689,5.62159357,-53.69805750,200.00000000,0.10539644,0.16849089,-11.52213001
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,51.00819016,2.97880030,-3.03115869,-50.69746683,-5.62159405,500.22093354,200.00004578,0.10539644,0.16849089,-11.52213001
 680,  -11,        e+,23, 509, 509, 682, 683,-556, -11,40.63248062,-1.32855427,-2.65444899,-35.90584724,-19.02021597,-71.32465311,0.00051100,0.10539644,0.16849089,-11.52213001
 681,   23,        Z0,22, 509, 509, 684, 684,-556,  23,95.11478424,0.16336803,0.36817300,88.74080579,34.23290184,15.60792644,91.18759918,0.10539644,0.16849089,-11.52213001
 685,   11,        e-, 1, 510, 510,  -1,  -1, 556,   0,75.44919586,0.96051109,-2.53775239,-62.10684747,-42.84064255,84.13846768,0.00051100,0.10539644,0.16849089,-11.52213001
