idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
 279,   11,        e-,23, 202, 202, 281, 282, 556,  11,125.15445709,-2.78258920,2.83348155,-119.26069527,37.95424474,-1007.42656358,0.00051077,0.09109063,0.16965334,0.77171856
 280,   23,        Z0,22, 202, 202, 283, 283, 556,  23,33.90025711,-4.12835550,0.42989239,30.81569317,14.12871142,-1051.91898141,91.18759918,0.09109063,0.16965334,0.77171856
 284,   13,       mu-,23, 278, 278, 286, 287,  23,  13,6.85642099,-0.54151577,1.52119553,0.33994451,6.84798851,-3.89699871,0.10566000,0.09363565,0.16810179,0.74078453
 285,  -13,       mu+,23, 278, 278, 288, 288,  23, -13,54.37969208,-3.55822539,-2.04178739,-24.67585437,-48.45877755,-953.61213111,0.10566000,0.09363565,0.16810179,0.74078453
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,24266.14453125,0.00000000,0.00000000,0.00000000,1510.14453125,0.00000000,0.09109741,0.16970837,2.32930565
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22821.33789062,0.00000000,0.00000000,0.00000000,-65.33789062,0.00000000,0.09109741,0.16970837,2.32930565
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,54.89319992,3.86904883,-1.43774116,7.28229216,-54.40801061,1314.03145363,199.99996948,0.09109741,0.16970837,2.32930565
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,54.89319992,1.60262668,1.70385158,-7.28229692,54.40800997,130.77461358,200.00006104,0.09109741,0.16970837,2.32930565
 611,  -11,        e+, 1, 457, 457,  -1,  -1,-556,   0,8.00440788,5.50794554,-2.59787011,-6.85008302,-4.14088254,987.10290439,0.00051111,0.09111859,0.16964217,2.33098865
 612,   23,        Z0,22, 457, 457, 615, 616,-556,  15,53.51384735,2.54728055,-1.11526430,23.54289023,-48.05688482,339.65315236,91.18759918,0.09111859,0.16964217,2.33098865
 613,   11,        e-, 1, 458, 458,  -1,  -1, 556,   0,24.88979340,2.31625581,-0.84186280,16.57845791,-18.56492792,124.93436317,0.00051098,0.09098204,0.17013773,2.33052778
 614,   23,        Z0,22, 458, 458, 623, 624, 556,  13,69.92864990,0.05307071,1.99406099,-28.72243811,63.75764759,3.71290563,91.18759918,0.09098204,0.17013773,2.33052778
 615,   15,      tau-,23, 612, 612, 617, 618,  23,  15,56.36384964,1.61223745,-0.28110650,54.15151567,-15.63639653,135.68403133,1.77681994,0.09111859,0.16964217,2.33098865
 616,  -15,      tau+,23, 612, 612, 619, 619,  23, -15,44.58672333,2.22541714,-2.32745600,-30.60862573,-32.42048624,203.96912719,1.77681994,0.09111859,0.16964217,2.33098865
 623,   13,       mu-,23, 614, 614, 627, 627,  23,  13,54.47868347,-0.64979601,1.67426825,-5.62696058,54.18730725,-37.94434408,0.10566000,0.09098204,0.17013773,2.33052778
 624,  -13,       mu+,23, 614, 614, 625, 626,  23, -13,24.99984360,1.28360724,2.74874997,-23.09546975,9.57034258,41.65725131,0.10566000,0.09098204,0.17013773,2.33052778
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,23356.46289062,0.00000000,0.00000000,0.00000000,600.46289062,0.00000000,0.09052493,0.16983259,2.68309617
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22909.94140625,0.00000000,0.00000000,0.00000000,-153.94140625,0.00000000,0.09052493,0.16983259,2.68309617
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,51.00819016,-0.91817498,0.11043396,50.69746689,5.62159357,-53.69805750,200.00000000,0.09052493,0.16983259,2.68309617
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,51.00819016,2.97880030,-3.03115869,-50.69746683,-5.62159405,500.22093354,200.00004578,0.09052493,0.16983259,2.68309617
 777,  -11,        e+,23, 588, 588, 779, 780,-556, -11,49.28501511,-1.15595174,-2.35680246,-34.87094968,-34.82857422,-70.53395041,0.00051100,0.09201336,0.16915621,2.68165517
 778,   23,        Z0,22, 588, 588, 781, 781,-556,  23,90.80590057,0.18473066,0.10640206,90.29236044,9.64371427,16.87020412,91.18759918,0.09201336,0.16915621,2.68165517
 782,   11,        e-, 1, 589, 589,  -1,  -1, 556,   0,76.15300751,0.95995849,-2.51072407,-61.49473247,-44.91857557,84.86031554,0.00051101,0.09019949,0.16974019,2.68674421
 783,   23,        Z0,22, 589, 589, 795, 796, 556,  11,36.60070801,3.11642885,1.08291876,17.15665999,32.33049404,412.14840613,91.18759918,0.09019949,0.16974019,2.68674421
 784,   11,        e-,23, 781, 781, 786, 787,  23,  11,47.55064392,0.97706276,0.22377364,46.36506286,10.55199903,54.21311880,0.00051100,0.09201336,0.16915621,2.68165517
 785,  -11,        e+,23, 781, 781, 788, 788,  23, -11,43.88997269,-0.77227432,-0.02097136,43.88032168,-0.92036477,-37.36622434,0.00051100,0.09201336,0.16915621,2.68165517
 795,   11,        e-,23, 783, 783, 799, 799,  23,  11,24.84209442,1.15221643,3.13808441,-24.84194155,0.08715190,35.39085332,0.00051100,0.09019949,0.16974019,2.68674421
 796,  -11,        e+,23, 783, 783, 797, 798,  23, -11,52.94823456,2.66033554,0.65474838,41.99860211,32.24333984,376.75745541,0.00051106,0.09019949,0.16974019,2.68674421
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    2,         u,21,   6,   6,   4,   5,   2,-556,0.00000000,24245.36523438,0.00000000,0.00000000,0.00000000,1489.36523438,0.00000000,0.09049463,0.16852710,0.53794611
   3,   -2,      ubar,21,   7,   7,   4,   5,  -2,-556,0.00000000,-22810.32421875,0.00000000,0.00000000,0.00000000,-54.32421875,0.00000000,0.09049463,0.16852710,0.53794611
   4, -556,     P-556,22,   2,   3,   8,   8,   2,-556,150.08265686,2.67645216,1.06649423,72.51942030,131.39915361,1085.44524282,199.99925232,0.09049463,0.16852710,0.53794611
   5,  556,      P556,22,   2,   3,   9,   9,   2, 556,150.08265686,1.58191955,-2.07509851,-72.51943178,-131.39914727,349.59533681,200.00044250,0.09049463,0.16852710,0.53794611
 264,  -11,        e+,23, 204, 204, 266, 267,-556, -11,107.46681213,2.69351912,1.32605851,26.03941983,104.26439625,790.73904323,0.00051123,0.09232005,0.17113386,0.56061453
 265,   23,        Z0,22, 204, 204, 268, 268,-556,  23,61.95862198,2.17781258,0.28986207,59.37391328,17.70901634,269.94404163,91.18759918,0.09232005,0.17113386,0.56061453
 269,   11,        e-, 1, 205, 205,  -1,  -1, 556,   0,110.42012024,1.10327506,-1.17013860,43.06650436,-101.67536160,148.08653697,0.00051102,0.09023961,0.16789375,0.53955114
 270,   23,        Z0,22, 205, 205, 276, 277, 556,  13,120.72741699,1.48413610,-2.65524220,-106.72841527,-56.42831370,252.58921531,91.18759918,0.09023961,0.16789375,0.53955114
 271,   11,        e-,23, 268, 268, 275, 275,  23,  11,32.96886826,0.56856585,-0.28466749,31.64203901,-9.25892225,19.77136154,0.00051100,0.09232005,0.17113386,0.56061453
 272,  -11,        e+,23, 268, 268, 273, 274,  23, -11,38.68237305,2.56583905,0.77143425,27.73183814,26.96796503,250.17276463,0.00051096,0.09232005,0.17113386,0.56061453
 276,   13,       mu-, 1, 270, 270,  -1,  -1,  23,   0,101.21083069,1.28306961,-2.23488569,-62.38051452,-79.70134037,168.54193438,0.10566000,0.09023961,0.16789375,0.53955114
 277,  -13,       mu+, 1, 270, 270,  -1,  -1,  23,   0,50.08362961,1.28968322,2.65831566,-44.34789783,23.27302973,84.04729104,0.10566000,0.09023961,0.16789375,0.53955114
