idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,51.00819016,-0.91817498,0.11043396,50.69746689,5.62159357,-53.69805750,200.00000000,0.09143251,0.16945201,0.77967888
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,51.00819016,2.97880030,-3.03115869,-50.69746683,-5.62159405,500.22093354,200.00004578,0.09143251,0.16945201,0.77967888
 704,  -11,        e+, 1, 536, 536,  -1,  -1,-556,   0,45.18497467,1.24208379,0.60649198,37.12635188,25.75492054,71.70945641,0.00051100,0.09143251,0.16945201,0.77967888
 705,   23,        Z0,22, 536, 536, 708, 709,-556,  11,89.96622467,-0.16649914,-2.87593389,-86.81018738,-23.62018096,-15.04860410,91.18759918,0.09143251,0.16945201,0.77967888
 706,   11,        e-, 1, 537, 537,  -1,  -1, 556,   0,85.62424469,-0.86828387,0.74173462,63.13056830,57.84498790,-84.04648822,0.00051099,0.09143251,0.16945201,0.77967888
 707,   23,        Z0,22, 537, 537, 710, 711, 556,  13,17.96071053,-3.81986499,2.23758745,-11.10811769,14.11371121,-409.28975695,91.18759918,0.09143251,0.16945201,0.77967888
 708,   11,        e-, 1, 705, 705,  -1,  -1,  23,   0,90.96743011,-0.45447904,-2.94546485,-89.22344939,-17.72708155,-42.78079502,0.00051100,0.09143251,0.16945201,0.77967888
 709,  -11,        e+, 1, 705, 705,  -1,  -1,  23,   0,6.36806774,2.17737389,-1.18212056,2.41326387,-5.89308444,27.73219169,0.00051100,0.09143251,0.16945201,0.77967888
 710,   13,       mu-,23, 707, 707, 712, 713,  23,  13,28.17797089,-1.10181034,0.99908143,15.24639631,23.69695007,-37.72101104,0.10566000,0.09143251,0.16945201,0.77967888
 711,  -13,       mu+,23, 707, 707, 714, 714,  23, -13,28.04280472,-3.27856994,-2.79282904,-26.35451424,-9.58323931,-371.56874300,0.10566000,0.09143251,0.16945201,0.77967888
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    2,         u,21,   6,   6,   4,   5,   2,-556,0.00000000,22810.32421875,0.00000000,0.00000000,0.00000000,54.32421875,0.00000000,0.09109741,0.16970837,2.32930565
   3,   -2,      ubar,21,   7,   7,   4,   5,  -2,-556,0.00000000,-24245.36523438,0.00000000,0.00000000,0.00000000,-1489.36523438,0.00000000,0.09109741,0.16970837,2.32930565
   4, -556,     P-556,22,   2,   3,   8,   8,   2,-556,150.08265686,2.67645216,1.06649423,72.51942030,131.39915361,1085.44524282,199.99925232,0.09109741,0.16970837,2.32930565
   5,  556,      P556,22,   2,   3,   9,   9,   2, 556,150.08265686,1.58191955,-2.07509851,-72.51943178,-131.39914727,349.59533681,200.00044250,0.09109741,0.16970837,2.32930565
 570,  -11,        e+, 1, 429, 429,  -1,  -1,-556,   0,107.41469574,-2.69767523,-2.10070252,-54.29301634,-92.68325220,-793.67741150,0.00051100,0.09109741,0.16970837,2.32930565
 571,   23,        Z0,22, 429, 429, 577, 578,-556,  13,71.01070404,-2.04916406,-2.95084190,-69.72272415,-13.46335121,-270.99700413,91.18759918,0.09109741,0.16970837,2.32930565
 572,   11,        e-,23, 430, 430, 574, 575, 556,  11,105.74717712,-1.00796950,2.02785516,-46.66736592,94.89268901,-125.57860334,0.00051099,0.09109741,0.16970837,2.32930565
 573,   23,        Z0,22, 430, 430, 576, 576, 556,  23,110.70407867,-1.42249441,0.42302835,100.94550461,45.44665151,-216.22395002,91.18759918,0.09109741,0.16970837,2.32930565
 577,   13,       mu-, 1, 571, 571,  -1,  -1,  23,   0,35.24740601,-1.41045189,-1.37226808,6.95172955,-34.55507324,-67.91776414,0.10566000,0.09109741,0.16970837,2.32930565
 578,  -13,       mu+, 1, 571, 571,  -1,  -1,  23,   0,79.52252960,-1.66700411,2.87315059,-76.67445219,21.09173052,-203.07927051,0.10566000,0.09109741,0.16970837,2.32930565
